"id","title","link","avgSoldPrice","avgShipping","totalSold","lastDateSold","input","inputRowNumber"
"233297746934","Acerbis X-Factory Handguards Black/Orange 2634661009 73-1756 0635-1435","https://www.ebay.com/itm/233297746934?nordt=true&orig_cvip=true&rt=nc","71.63","0","5","2021-12-02","ACERBIS","1"
"233618914065","Acerbis Chain Slider Kawasaki KX 125 / KX 250 1994-2008 Swingarm 2071499999","https://www.ebay.com/itm/233618914065?nordt=true&orig_cvip=true&rt=nc","26.95","0","5","2021-11-25","ACERBIS","1"
"274668507479","Acerbis Kawasaki KX250F KX450F 2019-2021 X-Grip Frame Guards Green 2742601089","https://www.ebay.com/itm/274668507479?nordt=true&orig_cvip=true&rt=nc","45.49","0","5","2021-12-02","ACERBIS","1"
"313406683018","Acerbis Lower Fork Guards 00 CR Red Honda CRF 250/CRF 450/CR125R/CR250R","https://www.ebay.com/itm/313406683018?nordt=true&orig_cvip=true&rt=nc","28.97","0","6","2021-11-28","ACERBIS","1"
"313484171429","Acerbis Plastics Kit 05 Original Yamaha YZ450F/YZ250F 4-Stroke 2003-2005","https://www.ebay.com/itm/313484171429?nordt=true&orig_cvip=true&rt=nc","99.42","0","5","2021-11-29","ACERBIS","1"
"313570880300","Acerbis Fuel Tank #2211560147 fits Yamaha YZ250 2-Stroke/YZ125/YZ250X 2-Stroke","https://www.ebay.com/itm/313570880300?nordt=true&orig_cvip=true&rt=nc","191.37","0","5","2021-12-03","ACERBIS","1"
"313661170314","Acerbis Full Plastics Kit Black #2736250001 for Honda CRF250R/CRF450R 19-20","https://www.ebay.com/itm/313661170314?nordt=true&orig_cvip=true&rt=nc","138.28","0","5","2021-12-03","ACERBIS","1"
"323652121288","Acerbis Gas Cap KTM 50 65 85 105 SX XC 50SX 65SX 85SX 105SX Senior Junior Pro SR","https://www.ebay.com/itm/323652121288?nordt=true&orig_cvip=true&rt=nc","18.95","0","5","2021-12-02","ACERBIS","1"
"324629325318","Acerbis 2634661018 X-Factory Handguards - Red/Black","https://www.ebay.com/itm/324629325318?nordt=true&orig_cvip=true&rt=nc","71.87","0","5","2021-12-02","ACERBIS","1"
"333636200444","Acerbis Plastic MC Skid Plate Black SUZUKI DR650S 2015-2016,DR650SE 1996-2014;","https://www.ebay.com/itm/333636200444?nordt=true&orig_cvip=true&rt=nc","75.71","0","8","2021-12-01","ACERBIS","1"
